thigh_left_length,calf_left_length,thigh_right_length,calf_right_length,motor_left_name,motor_right_name,gear_left_ratio,gear_right_ratio,gearbox_left,gearbox_right,torso_distance,ik_height,best_index,best_cost,ac1,ac2,ac3
0.16306075764151984,0.20645910326364025,0.22691372762973996,0.22246277763153144,U12,MAD_M6C12,27.4475026378962,4.183962024812435,WPG,CPG,0.10847435028052851,0.3007862642195333,1,-123.49423584965405,623.4,5.2,32.5
0.18315485631949932,0.2311207009988805,0.22180752818146315,0.21801655719460128,MN8014,MAD_M6C12,25.386246406624974,4.6159825802778,WPG,SSPG,0.11687081266495633,0.30187977335489163,1,-74.80948342100159,647.7,4.9,27.9
0.17314616196129862,0.2540429630569993,0.20348043314571287,0.21085259317118332,MN8014,MAD_M6C12,25.460659143856446,5.251698319053065,WPG,CPG,0.11335538108511439,0.30004499532867873,6,-97.1541955403415,510.0,5.4,30.0
0.19054216501073565,0.26850396783506447,0.21165621380769636,0.229033883733757,MN8014,MAD_M6C12,30.55574395997141,4.344397578268827,WPG,CPG,0.11441692293816812,0.3105771259134605,2,-94.22921891381327,534.0,4.4,30.4
0.18221882717653579,0.2585849819220252,0.2054389150508534,0.21714846002798577,MN8014,MAD_M6C12,29.948269480008076,4.774532817154597,WPG,SSPG,0.11625137242888844,0.315668052217009,4,-99.9925060710839,598.9,4.3,35.7
0.18794248975287223,0.24760329610450654,0.212535987554726,0.21395644056541507,MN8014,MAD_M6C12,27.981646730741158,4.06846951120072,WPG,CPG,0.11672055380088095,0.30539885429034636,3,-90.01854566935049,609.7,6.2,32.8
0.1859842003634012,0.28024824707556867,0.19776641902998976,0.20647686916229718,U12,MAD_M6C12,31.810916433764547,7.277035566809879,WPG,CPG,0.11304983489870342,0.3018435544114727,4,-110.37372045844819,751.2,4.7,30.1
0.15912243276906063,0.2595869423813315,0.2023567270632894,0.21597179150349924,MN8014,MAD_M6C12,31.59410198381616,5.136413890436295,WPG,CPG,0.1152187195735859,0.31199147108069303,7,-131.445568984741,846.8,4.6,28.9
0.1545518215164677,0.24823957527838758,0.19777432950799206,0.22606349837364265,MN8014,MAD_M6C12,33.03237885155535,4.1298191897559065,WPG,CPG,0.12091281104931169,0.3237000426904229,6,-144.69702286165656,698.4,4.7,34.7
0.1519055091051382,0.26691286277882426,0.2078039341598019,0.2279353306223328,MN8014,MAD_M6C12,31.79324727671772,5.003213959199018,WPG,SSPG,0.13153117730139197,0.300071373731628,7,-148.91902879789046,707.0,4.1,37.1
0.15001819256805987,0.26659382429441675,0.18592080340858236,0.24238431742469638,MN8014,MAD_M6C12,35.31526500554714,4.223254417159538,WPG,CPG,0.12506466620179357,0.30233425306072864,3,-160.15278781980967,751.6,4.3,35.3
0.1612626637317389,0.28643042960818943,0.21347826026855476,0.2354131950750299,U12,MAD_M6C12,37.48141956800163,5.725205788501549,WPG,SSPG,0.11344169729789585,0.30006198583915045,4,-170.70013880986497,774.2,4.1,36.0
0.15235480603573617,0.2733686479202088,0.2249216591381906,0.22698370425806047,MN8014,MAD_M6C12,34.382705226606326,4.3065620498036274,WPG,CPG,0.11630614915585095,0.3011137464212976,5,-162.72457204042115,805.0,4.8,32.0
0.16661276871638256,0.2729542345289863,0.21383044368107515,0.2027216549005918,MN8014,MAD_M6C12,35.413333336824806,4.029328951916439,WPG,CPG,0.11760851977886083,0.3008901116513796,5,-147.90122173923592,716.2,5.0,35.0
0.15354932204790228,0.2759876705410665,0.20459145959874103,0.24078370186942982,MN8014,MAD_M6C12,38.88130446619199,8.503479352005087,WPG,CPG,0.11687257562903854,0.3064787592393687,5,-142.65018049044588,792.0,4.6,37.5
0.16272155258617907,0.27757985851083306,0.20934795772215586,0.2177058904381177,MN8014,MAD_M6C12,37.771780204010454,4.450165600920749,WPG,CPG,0.10787429596121392,0.30010980414113325,6,-157.50718943491813,897.4,4.5,33.6
0.15920653467646148,0.3098508803501698,0.20016758376198943,0.23699708830844293,MN8014,MAD_M6C12,40.72826072505685,4.005323655814986,WPG,CPG,0.10410576285204945,0.30050002101718,2,-159.49205575513884,879.0,5.0,37.4
