iter, gearRatio, moduleBig, moduleSmall, Ns, NpBig, NpSmall, Nr, numPlanet, fwSunMM, fwPlanetBigMM, fwPanetSmallMM, fwRingMM, mass, eff, peakTorque, Cost, Torque_Density, Outer_Bearing_mass, Actuator_width
4 , 9.306122448979592 , 0.5 , 0.5 , 21 , 55 , 35 , 111 , 3 , 21.791 , 21.791 , 25.857 , 25.857 , 1.278 , 0.945 , 35.547 , -0.15009420068808565 , 27.815 , 0.05 , 122.64792282678953
6 , 9.4 , 0.5 , 0.5 , 30 , 64 , 32 , 126 , 3 , 13.31 , 13.31 , 23.815 , 23.815 , 1.317 , 0.951 , 35.905 , -0.20257911643073384 , 27.263 , 0.103 , 115.12468896716355
5 , 9.5 , 0.5 , 0.5 , 27 , 68 , 40 , 135 , 3 , 15.303 , 15.303 , 21.169 , 21.169 , 1.323 , 0.954 , 36.287 , -0.2022836734123099 , 27.428 , 0.103 , 114.47178324498759
7 , 9.6 , 0.5 , 0.5 , 33 , 66 , 30 , 129 , 3 , 11.713 , 11.713 , 24.344 , 24.344 , 1.31 , 0.951 , 36.669 , -0.20523891582527526 , 27.992 , 0.103 , 114.05723155479382
4 , 9.696969696969697 , 0.5 , 0.5 , 27 , 63 , 33 , 123 , 3 , 15.353 , 15.353 , 24.989 , 24.989 , 1.296 , 0.95 , 37.04 , -0.17834696961394192 , 28.58 , 0.081 , 117.34224225004502
7 , 9.8 , 0.5 , 0.5 , 30 , 68 , 34 , 132 , 3 , 13.276 , 13.276 , 23.417 , 23.417 , 1.318 , 0.952 , 37.433 , -0.2031244209988301 , 28.401 , 0.103 , 114.69267963059357
7 , 9.896825396825397 , 0.5 , 0.5 , 27 , 59 , 28 , 114 , 3 , 15.399 , 15.399 , 29.011 , 29.011 , 1.315 , 0.945 , 37.803 , -0.16795118398324077 , 28.748 , 0.081 , 121.4094441739731
5 , 10.0 , 0.6 , 0.6 , 21 , 54 , 30 , 105 , 3 , 15.147 , 15.147 , 21.523 , 21.523 , 1.277 , 0.941 , 38.197 , -0.20924073474771387 , 29.912 , 0.081 , 113.66951372038162
8 , 10.1 , 0.5 , 0.5 , 24 , 77 , 55 , 156 , 3 , 17.88 , 17.88 , 18.555 , 18.555 , 1.391 , 0.956 , 38.579 , -0.18135099293055817 , 27.735 , 0.128 , 114.43441900816218
3 , 10.2 , 0.5 , 0.5 , 30 , 69 , 33 , 132 , 3 , 13.268 , 13.268 , 24.705 , 24.705 , 1.326 , 0.952 , 38.961 , -0.20014195207866714 , 29.382 , 0.103 , 115.97334362499141
4 , 10.29810298102981 , 0.5 , 0.5 , 27 , 73 , 41 , 141 , 3 , 15.259 , 15.259 , 22.075 , 22.075 , 1.334 , 0.954 , 39.336 , -0.17998736505863744 , 29.487 , 0.103 , 115.33388600681226
5 , 10.4 , 0.5 , 0.5 , 24 , 72 , 45 , 141 , 3 , 17.927 , 17.927 , 21.865 , 21.865 , 1.355 , 0.953 , 39.725 , -0.19116342544045634 , 29.317 , 0.103 , 117.79238468733867
5 , 10.5 , 0.5 , 0.5 , 24 , 76 , 50 , 150 , 3 , 17.889 , 17.889 , 20.417 , 20.417 , 1.356 , 0.954 , 40.107 , -0.1919140277037374 , 29.577 , 0.103 , 116.30561077392275
5 , 10.603658536585366 , 0.5 , 0.5 , 24 , 70 , 41 , 135 , 3 , 17.948 , 17.948 , 23.775 , 23.775 , 1.361 , 0.951 , 40.503 , -0.1515867258287204 , 29.76 , 0.103 , 119.72302735931825
4 , 10.703448275862069 , 0.5 , 0.5 , 30 , 67 , 29 , 126 , 3 , 13.284 , 13.284 , 28.416 , 28.416 , 1.344 , 0.948 , 40.884 , -0.15739890392448352 , 30.42 , 0.103 , 119.70037846313444
6 , 10.799999999999999 , 0.6 , 0.6 , 18 , 63 , 45 , 126 , 3 , 18.573 , 18.573 , 17.637 , 17.637 , 1.348 , 0.945 , 41.253 , -0.18825054347841136 , 30.603 , 0.103 , 114.21012166668994
6 , 10.904255319148936 , 0.5 , 0.5 , 24 , 76 , 47 , 147 , 3 , 17.889 , 17.889 , 21.944 , 21.944 , 1.363 , 0.953 , 41.651 , -0.1465576157153406 , 30.558 , 0.103 , 117.83253635700476
3 , 11.0 , 0.5 , 0.5 , 27 , 72 , 36 , 135 , 3 , 15.267 , 15.267 , 25.61 , 25.61 , 1.35 , 0.951 , 42.017 , -0.19182076131906167 , 31.124 , 0.103 , 118.87718521736176
