Thigh,Calf,Hip motor,Knee motor,Hip ratio,Knee ratio,Gearbox hip,Gearbox knee,Efficiency hip,Efficiency knee,Torso distance,ik_height,Best X velocity,Average energy,Max height,Max distance,Unique id,ac1,ac2,ac3
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.30003116829712645,0.059503907792642016,10.611870826141624,0.26926233861546767,0.17605313031352904,e00bc25c,744.9,2.4,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.30003116829712645,0.06057598501446524,10.611870826141624,0.26926233861546767,0.17605313031352904,e00bc25c,744.9,2.4,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.30003116829712645,0.06021033151842098,10.611870826141624,0.26926233861546767,0.17605313031352904,e00bc25c,744.9,2.4,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.30003116829712645,0.05933617385008243,10.611870826141624,0.26926233861546767,0.17605313031352904,e00bc25c,744.9,2.4,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.30005090346540264,0.05761342343720334,10.612450167142047,0.2692770731032074,0.1760326797652501,38708e4a,747.4,2.3,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.30005090346540264,0.05911459189903861,10.612450167142047,0.2692770731032074,0.1760326797652501,38708e4a,747.4,2.3,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.30005090346540264,0.05924474652733617,10.612450167142047,0.2692770731032074,0.1760326797652501,38708e4a,747.4,2.3,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.30005090346540264,0.05892218492911694,10.612450167142047,0.2692770731032074,0.1760326797652501,38708e4a,747.4,2.3,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.30005090346540264,0.05890615466454644,10.612450167142047,0.2692770731032074,0.1760326797652501,38708e4a,747.4,2.3,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.30003068021697915,0.05536099269412832,10.611856500288194,0.2692619742278093,0.17605363607143584,1671c54f,746.5,2.3,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.30003068021697915,0.05830844560675875,10.611856500288194,0.2692619742278093,0.17605363607143584,1671c54f,746.5,2.3,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.30003068021697915,0.05841983197918276,10.611856500288194,0.2692619742278093,0.17605363607143584,1671c54f,746.5,2.3,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.30003068021697915,0.05837399150922751,10.611856500288194,0.2692619742278093,0.17605363607143584,1671c54f,746.5,2.3,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.30003068021697915,0.05872606880053568,10.611856500288194,0.2692619742278093,0.17605363607143584,1671c54f,746.5,2.3,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.30001955407695957,0.04840243758013885,10.60872440185084,0.26925366798582945,0.17520494379931895,8b16705e,745.2,2.3,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.30001955407695957,0.05985681666305086,10.60872440185084,0.26925366798582945,0.17520494379931895,8b16705e,745.2,2.3,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.30001955407695957,0.05953532040173175,10.60872440185084,0.26925366798582945,0.17520494379931895,8b16705e,745.2,2.3,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.30001955407695957,0.05950644774332164,10.60872440185084,0.26925366798582945,0.17520494379931895,8b16705e,745.2,2.3,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.30001955407695957,0.060315542556477475,10.60872440185084,0.26925366798582945,0.17520494379931895,8b16705e,745.2,2.3,10.0
