Thigh,Calf,Hip left motor,Hip right motor,Hip left ratio,Hip right ratio,Gearbox left,Gearbox right,Torso distance,Push duration, best_index, best_cost, v2_c1,v2_c2,v2_c3,v4_c1,v4_c2,v4_c3,v6_c1,v6_c2,v6_c3
0.21725416872503672,0.3355699147494886,MN8014,MAD_M6C12,4.339242408484203,5.952793120802379,CPG,SSPG,0.11017613580579586,0.05251968369114614,1,1.9145842555897552,125.4,6.2,36.4,176.0,5.8,36.7,189.5,4.6,42.4
0.23434696921653017,0.34330093362933173,MN8014,MAD_M6C12,4.116861542182454,5.798955766534606,SSPG,CPG,0.10810240661610092,0.05008606677854594,4,1.9155324164407457,157.5,6.9,38.5,173.5,7.0,37.7,216.9,5.6,43.2
0.24027046420302064,0.34950719789060514,MN8014,MAD_M6C12,6.117022623640908,9.942720072311921,SSPG,CPG,0.10552240208566369,0.05051905624839183,7,2.6583541098471235,134.1,6.8,35.7,176.9,6.6,36.9,198.1,5.0,44.8
0.24171995670838525,0.34751058889114894,MN8014,MAD_M6C12,4.92525387394311,7.311243195097432,CPG,CPG,0.09400092339579065,0.050099348169637306,7,2.1230893794907457,144.9,6.7,36.1,154.6,6.2,33.6,135.7,5.9,45.8
0.2471845028135794,0.34784829783857163,MN8014,MAD_M6C12,4.052205885368351,5.374500041849001,SSPG,SSPG,0.10400853685703507,0.05113404117672986,1,1.7127251522263633,157.2,7.1,35.0,122.5,6.7,38.1,175.4,4.9,45.7
0.23278993503959955,0.33444240107899736,VT8020,MAD_M6C12,7.3105251623859235,5.9374911886412765,SSPG,SSPG,0.10167947017922589,0.0529508161795345,6,1.8015211702835474,131.1,6.1,32.5,93.5,6.9,36.4,217.2,5.0,49.2
0.2278835093279158,0.34476848146115385,MN8014,MAD_M6C12,4.030193699763004,4.424638794036328,SSPG,SSPG,0.10855747148202816,0.051798236214577305,7,1.5315809680864154,130.1,7.6,37.5,138.1,6.9,35.5,199.0,5.1,47.8
0.20533776008112506,0.3436361786454327,VT8020,MAD_M6C12,4.9051738938005105,4.110891223167303,CPG,CPG,0.10981056969591156,0.054149482941091,4,1.6162142851492427,147.2,7.8,32.8,124.4,7.2,40.1,216.2,6.2,49.9
0.22002996604761182,0.3439598953246019,VT8020,MAD_M6C12,5.677514480979363,4.647835293194051,SSPG,SSPG,0.09711391346520963,0.050172583782279595,2,1.5801202916585213,157.8,7.7,34.6,117.8,7.1,38.3,218.5,5.5,45.8
0.2118015191880031,0.3382086361111488,VT8020,MAD_M6C12,5.059239824960889,4.13702520037814,CPG,CPG,0.08138875187087354,0.0512199627209468,5,1.6050193175306928,202.4,7.9,31.7,137.1,6.8,38.3,184.5,5.9,49.0
0.22593537103672956,0.3378019657936816,VT8020,MAD_M6C12,5.126906652951462,4.514693145909385,CPG,CPG,0.07666766037194582,0.05180193180669725,1,1.666109052937843,167.4,7.9,31.4,158.6,7.1,41.0,182.1,5.0,47.3
0.22787656406629872,0.3497423388443311,VT8020,MAD_M6C12,6.4708111216086515,4.884768696556904,CPG,CPG,0.07851626158362038,0.05055283726330444,4,1.608131001891135,164.3,7.8,33.1,176.0,6.9,42.9,156.5,6.3,48.9
0.2292497284074635,0.3345446039114047,VT8020,MAD_M6C12,4.133614419865178,4.437057873938989,CPG,SSPG,0.06432184421672804,0.05017451160803735,4,2.1155077817890935,230.4,8.9,30.8,162.6,7.9,44.8,189.6,6.4,48.5
0.22803841670130146,0.3238480599093278,MN8014,MAD_M6C12,4.044333543415432,4.569554944112984,SSPG,SSPG,0.07454547153989233,0.05312286635560593,7,1.4987018442177726,248.1,8.5,31.0,167.9,7.7,44.4,164.4,6.2,46.8
0.21429823210594548,0.3337365000330917,VT8020,MAD_M6C12,6.284211614059616,4.95593699413463,SSPG,SSPG,0.07800393285940584,0.05015211959843658,7,1.6864051756951326,190.7,7.6,29.1,149.7,7.5,43.7,185.2,6.0,49.7
0.21958537489113836,0.31258240641596435,MN8014,MAD_M6C12,4.0828964459378705,4.443110294081291,SSPG,SSPG,0.07879574518607031,0.05374828717045974,7,1.514722281528086,215.2,8.6,28.1,119.0,8.6,42.7,198.2,5.4,45.3
0.23457524430079085,0.34234722279973046,VT8020,MAD_M6C12,6.149945429467765,4.406679675009547,SSPG,SSPG,0.06663767037864869,0.05000647410402834,2,1.4494657019696922,224.9,7.1,27.7,185.4,8.8,41.4,172.7,5.8,50.0
0.20966338232342654,0.3398262434364407,VT8020,MAD_M6C12,4.911265243680762,4.095099340984915,CPG,CPG,0.07498131291166292,0.05023290664493832,2,1.6815513097477304,180.6,8.1,31.7,157.1,8.9,42.7,206.3,6.2,49.9
0.21343363566327372,0.33456145746636934,VT8020,MAD_M6C12,4.10801655049196,4.230147138229542,CPG,CPG,0.06478101527786087,0.05000732322040852,3,2.089363210279884,227.6,8.1,29.3,179.9,9.8,46.8,119.3,5.6,49.7
0.19981712327889534,0.3207014120260402,MAD_M6C12,MAD_M6C12,4.172509202434581,7.408765515738214,CPG,CPG,0.06317187141924281,0.05344657723520921,7,1.5432131922142935,225.8,9.1,28.4,192.7,9.9,40.9,161.8,6.2,49.7
0.21318537867767404,0.3315692140242783,VT8020,MAD_M6C12,4.001605544253115,4.248254123804136,CPG,CPG,0.05968001682387533,0.05121814586349151,2,2.0656432222252703,231.6,8.1,29.4,231.4,9.9,44.4,196.0,6.0,47.9
