thigh_length,calf_length,motor_left_name,motor_right_name,gear_left_ratio,gear_right_ratio,gearbox_left,gearbox_right,torso_distance,best_index,best_cost,ac1,ac2,ac3
0.34997052109119736,0.15001305954604352,U8,MAD_M6C12,28.955378282197177,6.536602500391679,WPG,CPG,0.11339328201373954,3,-2.6005364774954502,488.2,8.6,36.7
0.3499970671521664,0.15023365466113067,U8,MAD_M6C12,28.301935503164184,6.461533689743729,WPG,CPG,0.1127344020031294,7,-2.5755923647123566,484.0,8.7,37.1
0.34998523161937944,0.15036223112485533,U8,MAD_M6C12,29.240545893776925,6.566014192355343,WPG,CPG,0.11049842625891965,4,-2.540426953935958,477.3,8.7,36.6
0.34997368291987807,0.15045644457307983,U8,MAD_M6C12,28.65114252576716,6.5479163529985325,WPG,CPG,0.11219869583970782,6,-2.5755182845066305,467.4,8.6,37.6
0.3499896447573024,0.1502883906669604,U8,MAD_M6C12,28.345725703204394,6.605095308180711,WPG,CPG,0.11344595632026187,1,-2.582011348556236,474.9,8.8,37.2
0.3499715862431201,0.15077096831887887,U8,MAD_M6C12,29.065776792856852,6.644776593723324,WPG,CPG,0.113015495462687,5,-2.5471983423843287,463.6,8.6,37.4
0.34997723648166296,0.1500078179850854,U8,MAD_M6C12,29.990903248088394,7.127598424553135,WPG,CPG,0.11353396291652224,5,-2.5805280680980225,446.1,8.7,37.7
0.34992990275578095,0.15025602080087574,U8,MAD_M6C12,30.944983197197093,7.100951439536625,WPG,CPG,0.11277698357512281,5,-2.576466832997225,438.1,8.8,36.7
0.34999899569985526,0.1500058228097934,U8,MAD_M6C12,29.699793156135435,6.645616142767148,WPG,CPG,0.11274294956949633,0,-2.5780464998399397,455.9,8.6,38.4
0.34999126089394184,0.1500171929647469,U8,MAD_M6C12,28.997684744143704,6.064627149768709,WPG,SSPG,0.11164463649936426,4,-2.552819551372198,468.8,8.9,36.9
0.34998752807300537,0.15000071263300113,U8,MAD_M6C12,29.565366058893808,6.570457239796531,WPG,CPG,0.11256977189236696,2,-2.622637810513795,460.6,8.8,37.0
0.34999266612375846,0.15025175317482142,U8,MAD_M6C12,29.717233926240688,6.07846856560619,WPG,SSPG,0.11054621791988427,4,-2.5821193778247844,490.0,8.9,36.6
0.34999714901565415,0.15053150228239132,U8,MAD_M6C12,29.745383430246157,6.560707708011944,WPG,CPG,0.11129210715988502,7,-2.5749798611678276,465.8,8.9,36.7
0.3499767360073537,0.15083550648182484,U8,MAD_M6C12,29.695439192570984,6.499109143303643,WPG,CPG,0.11038978213994105,5,-2.564524570679411,465.1,8.8,37.6
0.349969316168711,0.15080669597509708,U8,MAD_M6C12,28.99660939397168,6.657634918414299,WPG,CPG,0.11036840213110063,0,-2.5633920958869307,476.1,8.8,37.4
0.34998472275934334,0.15007383115109707,U8,MAD_M6C12,29.59081930083873,6.509345390834964,WPG,CPG,0.11275032305055371,4,-2.6317793198254087,480.3,8.8,36.2
0.3499688464568518,0.15001991227440378,U8,MAD_M6C12,28.43051360906084,6.456353925301158,WPG,CPG,0.11340959770911792,0,-2.598712629958534,473.5,8.8,36.7
0.34998833171444904,0.1501810053547407,U8,MAD_M6C12,28.674064367105597,6.5399611674373315,WPG,CPG,0.11174028074041259,2,-2.569717128264945,463.5,8.9,37.2
0.3499923770976412,0.1500187882837942,U8,MAD_M6C12,28.391491458700084,6.484994290930745,WPG,CPG,0.11243433204407041,5,-2.5895278626708143,482.9,8.8,36.8
