thigh_length,calf_length,motor_hip_name,motor_knee_name,gear_hip_ratio,gear_knee_ratio,gearbox_hip,gearbox_knee,push_duration,best_index,best_cost,ctrl_v2_param1,ctrl_v2_param2,ctrl_v2_param3,ctrl_v4_param1,ctrl_v4_param2,ctrl_v4_param3,ctrl_v6_param1,ctrl_v6_param2,ctrl_v6_param3
0.18680135767044578,0.32690362306553844,U12,MN8014,27.743074047445354,4.152355977702774,WPG,SSPG,0.06478602287360118,2,3.0064271625874723,97.4,10.0,20.3,82.4,8.2,47.9,178.5,3.6,20.3
0.17765345540812844,0.3168488051543835,U12,MN8014,28.670771350202216,4.151494023626606,WPG,SSPG,0.08308954524334736,1,3.0041637320653596,76.1,10.0,23.5,122.6,7.6,48.4,260.9,2.9,18.1
0.17178450829023548,0.31193512696520975,U12,MN8014,28.713400982652434,4.01619679995113,WPG,SSPG,0.09386090366791207,2,3.0116171602549233,140.6,9.9,21.0,114.9,6.5,48.0,266.4,2.9,18.1
0.18402818890132294,0.3027307800592522,MN8014,VT8020,29.76409017096713,4.777112479845358,WPG,SSPG,0.08174185345792352,4,3.013208645528443,119.0,9.5,22.7,101.0,6.2,50.0,264.9,2.9,14.1
0.1571579896924661,0.292291596746155,U12,VT8020,31.632294137704395,4.0397651999084045,WPG,CPG,0.08578662396348703,5,3.0229654912334505,83.6,9.7,27.3,142.7,6.7,48.3,289.4,2.6,14.2
0.16180736072808002,0.3060069142105811,MN8014,VT8020,24.840728424644748,4.099264129055226,WPG,CPG,0.08014848393879048,6,3.0091449927661484,126.8,8.2,26.5,99.6,6.0,48.4,310.6,3.3,11.4
0.163760466347684,0.32458259058235195,MN8014,VT8020,31.301388586950864,5.172217082844352,WPG,SSPG,0.0746683735262223,4,3.0075935832510794,110.5,9.0,31.4,123.4,6.4,47.0,291.4,2.6,12.0
0.15999479226671054,0.29866478657700213,MN8014,VT8020,33.175656204642294,4.057064360480693,WPG,CPG,0.06825406937278261,4,3.011780923894863,69.6,8.3,32.1,160.0,5.5,41.8,305.9,2.1,11.1
0.15389014288735572,0.306992215384114,U12,VT8020,30.30091449348313,4.016790584453417,WPG,CPG,0.06253475277420048,3,3.003383314924012,56.9,8.6,30.1,214.9,6.5,41.5,280.4,2.1,10.0
0.16544990468104792,0.30981276568161353,MN8014,VT8020,28.83563893088394,4.9572067471605745,WPG,SSPG,0.08755142703420116,2,3.0035203674984254,103.1,7.9,31.5,118.8,6.4,45.6,320.4,2.5,15.7
0.1607591919449446,0.3064561884198874,U12,VT8020,25.727065299983778,4.516109683182419,WPG,CPG,0.07421461558877686,1,3.006339457283517,73.0,8.6,34.4,184.6,6.7,41.9,309.8,2.9,10.5
0.16082491780917674,0.325337059876896,MN8014,VT8020,27.182160048858762,4.0002996602148455,WPG,CPG,0.07584316337942155,5,3.008081397422724,87.2,8.3,26.3,180.1,6.9,42.8,279.4,3.3,10.5
0.1653510683362041,0.30613634060111644,MN8014,VT8020,29.74662384188542,4.251387627658853,WPG,CPG,0.06925396118818464,0,3.0097723233512994,59.1,7.2,33.2,182.8,6.7,41.0,356.2,3.2,12.3
0.17617751664756492,0.31058727242123896,U12,VT8020,28.494383933306928,4.390766598847837,WPG,SSPG,0.07843511890500812,5,3.0059591913485275,50.4,7.3,28.5,138.1,6.4,47.9,306.0,4.8,11.3
0.18420216365936778,0.3125670915090287,U12,VT8020,29.481367939207757,5.972829733725218,WPG,SSPG,0.07176591388905189,0,3.004290329993162,74.0,8.9,30.7,178.3,6.2,45.1,309.4,4.1,10.9
0.17687852039833069,0.30651389808837376,U12,VT8020,31.27116004279129,4.1201536012995845,WPG,CPG,0.0636145850787582,3,3.02688548751596,58.9,8.0,28.7,188.9,6.4,46.5,307.8,3.8,11.9
0.18803334885263712,0.3129395309071068,U12,VT8020,33.097998580481516,4.595285747608538,WPG,SSPG,0.06560523975277932,0,3.0065851805428876,61.6,8.6,27.7,238.0,6.4,41.7,304.5,3.4,10.2
0.17195703424632958,0.30445553785320667,U12,VT8020,32.51248390516495,4.8815583126489015,WPG,CPG,0.07322079348183157,1,3.0057400011351287,52.5,8.0,30.9,163.5,5.6,46.5,260.2,3.2,10.0
0.1802057414353388,0.31497007532703936,U12,VT8020,24.94575777594997,4.7954648392706485,WPG,SSPG,0.07656614047942178,7,3.00428600612263,88.3,9.0,27.0,171.0,5.6,47.9,247.5,3.5,13.5
0.18532043446736368,0.3235443732451811,U12,VT8020,30.82116743965792,4.00003017301523,WPG,CPG,0.07558190748206606,7,3.0040417805367503,52.9,8.8,28.1,158.4,7.3,49.4,254.4,4.1,10.0
0.18594121563422022,0.3154084812249242,U12,VT8020,27.973269496018887,4.408352619553188,WPG,SSPG,0.06818908346021559,6,3.004833857126357,86.9,8.4,28.2,153.5,6.5,47.8,255.4,3.8,10.7
0.19666135085997816,0.31949254376202346,U12,VT8020,31.01485981148924,4.6098061329097,WPG,SSPG,0.07170342029494758,5,3.0050059062018146,78.4,8.5,25.9,124.6,7.5,49.9,252.4,4.9,10.5
0.20262411140650988,0.31857807702734153,U12,VT8020,31.27795337595479,5.020837000825033,WPG,SSPG,0.07625056092381803,5,3.0078705860335853,105.8,8.1,27.8,140.5,7.7,49.0,282.4,4.7,11.8
