motor,target_ratio,actual_ratio,gearbox,mass,efficiency,cost,ratio_error
U8,17.7,17.704545454545453,WPG,0.789,0.906,9.377226618405562,0.0045454545454539
U8,17.8,17.82716049382716,WPG,0.789,0.908,10.29101504848705,0.0271604938271607
U8,17.9,17.88888888888889,WPG,0.753,0.877,8.06745497872666,0.0111111111111092
U8,18.0,18.0,WPG,0.756,0.879,7.440090224661003,0.0
U8,18.1,18.05128205128205,WPG,0.809,0.855,7.237869291359641,0.0487179487179503
U8,18.2,18.22222222222222,WPG,0.795,0.911,9.570055257497492,0.0222222222222221
U8,18.3,18.22222222222222,WPG,0.795,0.911,9.570055257497492,0.0777777777777792
U8,18.4,18.416666666666668,WPG,0.812,0.882,6.559028666585427,0.0166666666666692
U8,18.5,18.5,WPG,0.8,0.901,11.173560660259009,0.0
U8,18.6,18.6,WPG,0.763,0.895,7.191935989993366,0.0
U8,18.7,18.7012987012987,WPG,0.805,0.897,10.38854564856388,0.0012987012987011
U8,18.8,18.742857142857144,WPG,0.812,0.874,10.50832665693889,0.0571428571428569
U8,18.9,18.88888888888889,WPG,0.81,0.887,10.675098725621307,0.0111111111111092
U8,19.0,19.0,WPG,0.807,0.911,10.936093993506704,0.0
U8,19.1,19.133333333333333,WPG,0.809,0.914,10.004460596464588,0.0333333333333314
U8,19.2,19.2,WPG,0.8,0.883,12.33599569560149,0.0
U8,19.3,19.33333333333333,WPG,0.772,0.877,8.385275354965595,0.0333333333333278
U8,19.4,19.40625,WPG,0.757,0.875,9.19364180354331,0.0062500000000014
U8,19.5,19.52777777777778,WPG,0.816,0.905,11.724479047513553,0.0277777777777785
U8,19.6,19.6,WPG,0.779,0.851,9.25255317467989,0.0
U8,19.7,19.692307692307693,WPG,0.826,0.873,11.392734604577331,0.0076923076923058
U8,19.8,19.753086419753085,WPG,0.819,0.908,10.764549391914978,0.0469135802469153
U8,19.9,19.91111111111111,WPG,0.826,0.895,7.498308166746838,0.0111111111111128
U8,20.0,20.0,WPG,0.786,0.852,8.675060897487512,0.0
U8,20.1,20.09090909090909,WPG,0.828,0.885,11.741867770182132,0.0090909090909114
U8,20.2,20.25,WPG,0.813,0.898,12.698015891190677,0.0500000000000007
U8,20.3,20.25,WPG,0.813,0.898,12.698015891190677,0.0500000000000007
U8,20.4,20.428571428571427,WPG,0.829,0.916,11.32784483653382,0.0285714285714284
U8,20.5,20.5,WPG,0.845,0.853,11.86955874789204,0.0
U8,20.6,20.58333333333333,WPG,0.832,0.901,11.71653576240162,0.0166666666666728
U8,20.7,20.727272727272727,WPG,0.834,0.912,11.937701700997192,0.0272727272727273
U8,20.8,20.8,WPG,0.842,0.871,12.424587096847524,0.0
U8,20.9,20.88571428571429,WPG,0.889,0.874,11.149555142519644,0.0142857142857089
U8,21.0,21.0,WPG,0.838,0.911,11.405822098965649,0.0
U8,21.1,21.142857142857142,WPG,0.841,0.907,12.67022672327326,0.0428571428571409
U8,21.2,21.25,WPG,0.799,0.889,9.382316328215808,0.0500000000000007
U8,21.3,21.25,WPG,0.799,0.889,9.382316328215808,0.0500000000000007
U8,21.4,21.357142857142858,WPG,0.762,0.871,7.088878314915913,0.0428571428571409
U8,21.5,21.53333333333333,WPG,0.851,0.883,13.02200788214432,0.0333333333333314
U8,21.6,21.60606060606061,WPG,0.807,0.852,9.03201808392892,0.0060606060606076
U8,21.7,21.714285714285715,WPG,0.836,0.901,13.552189865708472,0.014285714285716
U8,21.8,21.77777777777778,WPG,0.851,0.908,11.25726630730373,0.0222222222222221
U8,21.9,21.923076923076923,WPG,0.902,0.889,10.896069775227998,0.0230769230769247
U8,22.0,22.0,WPG,0.795,0.829,5.681744790911162,0.0
U8,22.1,22.10909090909091,WPG,0.863,0.869,13.643992907145972,0.0090909090909079
U8,22.2,22.257142857142856,WPG,0.86,0.895,12.12540791138238,0.0571428571428569
U8,22.3,22.275,WPG,0.859,0.879,8.378696247376874,0.0250000000000021
U8,22.4,22.38888888888889,WPG,0.814,0.877,9.041439206314092,0.0111111111111092
U8,22.5,22.5,WPG,0.851,0.894,14.677493939733983,0.0
U8,22.6,22.5625,WPG,0.864,0.898,13.32504445374722,0.0375000000000014
U8,22.7,22.666666666666668,WPG,0.818,0.878,10.578425535878452,0.0333333333333314
U8,22.8,22.77777777777778,WPG,0.867,0.901,12.279882946680502,0.0222222222222221
U8,22.9,22.857142857142858,WPG,0.867,0.912,12.414628632227451,0.0428571428571409
U8,23.0,23.0,WPG,0.824,0.851,10.031081050839228,0.0
U8,23.1,23.142857142857142,WPG,0.923,0.874,11.764097146853446,0.0428571428571409
U8,23.2,23.22222222222222,WPG,0.921,0.887,11.889043132647998,0.0222222222222221
U8,23.3,23.296296296296298,WPG,0.864,0.881,14.571217264838952,0.003703703703703
U8,23.4,23.4,WPG,0.876,0.907,13.207857778478656,0.0
U8,23.5,23.5,WPG,0.968,0.855,11.697170075840235,0.0
U8,23.6,23.59183673469388,WPG,0.829,0.885,10.884816469718952,0.0081632653061198
U8,23.7,23.68,WPG,0.873,0.867,15.09179229259184,0.0199999999999995
U8,23.8,23.785714285714285,WPG,0.87,0.889,14.685631834118157,0.014285714285716
U8,23.9,23.916666666666668,WPG,0.884,0.905,12.812732237221583,0.0166666666666692
U8,24.0,24.0,WPG,0.873,0.902,14.96710764597665,0.0
U8,24.1,24.126984126984127,WPG,0.889,0.902,14.178108273195337,0.0269841269841251
U8,24.2,24.126984126984127,WPG,0.889,0.902,14.178108273195337,0.0730158730158727
U8,24.3,24.369230769230768,WPG,0.941,0.873,12.74216370586004,0.0692307692307672
U8,24.4,24.369230769230768,WPG,0.941,0.873,12.74216370586004,0.0307692307692306
U8,24.5,24.571428571428573,WPG,0.896,0.895,12.73084307076326,0.0714285714285729
U8,24.6,24.571428571428573,WPG,0.896,0.895,12.73084307076326,0.0285714285714284
U8,24.7,24.703703703703702,WPG,0.846,0.849,11.25226748166978,0.003703703703703
U8,24.8,24.8,WPG,0.848,0.851,10.431424456693806,0.0
U8,24.9,24.88888888888889,WPG,0.92,0.818,15.426515936020882,0.0111111111111092
U8,25.0,25.0,WPG,0.902,0.898,13.959465798407626,0.0
U8,25.1,25.107142857142858,WPG,0.891,0.895,15.377822022216495,0.0071428571428562
U8,25.2,25.142857142857142,WPG,0.852,0.874,12.244949414102027,0.0571428571428569
U8,25.3,25.27777777777778,WPG,0.866,0.813,12.441110752731444,0.0222222222222221
U8,25.5,25.5,WPG,0.855,0.89,11.71048585433948,0.0
U8,25.6,25.6,WPG,0.859,0.865,11.42399709842022,0.0
U8,25.7,25.666666666666668,WPG,0.864,0.842,13.0530069366266,0.0333333333333314
U8,25.8,25.8,WPG,0.919,0.871,13.839411297789354,0.0
U8,25.9,25.88235294117647,WPG,0.979,0.82,14.397023565571036,0.0176470588235275
U8,26.0,26.0,WPG,0.921,0.881,15.3567136628565,0.0
U8,26.1,26.133333333333333,WPG,0.935,0.732,8.747881848434998,0.0333333333333314
U8,26.2,26.133333333333333,WPG,0.935,0.732,8.747881848434998,0.0666666666666664
U8,26.3,26.363636363636363,WPG,0.875,0.801,12.707336150039838,0.0636363636363626
U8,26.4,26.363636363636363,WPG,0.875,0.801,12.707336150039838,0.0363636363636352
U8,26.5,26.52,WPG,0.931,0.867,15.945386284116775,0.0199999999999995
U8,26.6,26.6,WPG,0.929,0.883,14.42762248717533,0.0
U8,26.7,26.714285714285715,WPG,0.872,0.881,12.888233303071,0.014285714285716
U8,26.8,26.78787878787879,WPG,0.922,0.852,10.188041005257508,0.0121212121212117
U8,26.9,26.892307692307693,WPG,0.981,0.873,13.421353131138597,0.0076923076923058
U8,27.0,27.0,WPG,0.881,0.845,12.377774162118934,0.0
U8,27.1,27.125,WPG,0.885,0.802,12.07915008054237,0.0249999999999985
U8,27.2,27.23809523809524,WPG,0.831,0.843,9.547836610091933,0.0380952380952415
U8,27.3,27.27272727272728,WPG,0.985,0.885,13.727925268090257,0.0272727272727237
U8,27.4,27.40740740740741,WPG,0.928,0.897,16.7230972093397,0.0074074074074097
U8,27.5,27.49090909090909,WPG,0.945,0.87,15.188441874886568,0.0090909090909114
U8,27.6,27.5625,WPG,0.944,0.898,14.614667373331054,0.0375000000000014
U8,27.8,27.857142857142858,WPG,0.949,0.895,16.119094066965836,0.0571428571428569
U8,27.9,27.857142857142858,WPG,0.949,0.895,16.119094066965836,0.0428571428571409
U8,28.0,28.0,WPG,0.892,0.862,12.980730978804662,0.0
U8,28.1,28.115384615384617,WPG,0.958,0.85,15.472834948025586,0.0153846153846153
U8,28.2,28.2,WPG,1.005,0.853,14.072659058140324,0.0
U8,28.3,28.33333333333333,WPG,0.895,0.874,12.923433042872816,0.0333333333333278
U8,28.4,28.444444444444443,WPG,0.883,0.869,14.45143510027833,0.0444444444444442
U8,28.5,28.5,WPG,0.948,0.89,18.13507698151567,0.0
U8,28.6,28.6,WPG,0.91,0.809,15.084704302644951,0.0
U8,28.7,28.703703703703702,WPG,0.9,0.849,12.150799385558056,0.003703703703703
